"brand","id","satisfaction","trust","build","differs","easy","appealing","rewarding","popular","service","impact"
1,98,3,1,0,1,1,1,0,0,1,0
1,179,5,0,0,0,0,0,0,0,0,0
1,197,3,1,0,0,1,1,1,0,1,1
1,317,1,0,0,0,0,1,0,1,1,1
1,356,4,1,1,1,1,1,1,1,1,1
1,395,4,1,1,0,1,1,0,1,1,0
1,586,3,1,1,1,1,1,0,1,1,0
1,596,2,1,1,1,1,1,1,0,1,1
1,978,3,1,0,0,0,0,0,1,0,0
1,987,3,1,1,1,1,1,1,1,1,1
1,1002,5,0,0,0,0,0,0,0,0,0
1,1039,2,0,0,1,1,0,0,0,0,1
1,1087,4,1,0,0,1,1,0,1,0,0
1,1226,5,1,1,1,1,1,1,1,1,1
1,1282,3,1,1,0,1,0,0,0,1,0
1,1548,4,1,0,1,1,0,0,1,1,1
1,1594,4,1,0,1,1,1,1,1,0,1
1,1637,3,1,0,0,1,1,0,0,1,0
1,1739,5,0,0,0,0,1,1,0,0,0
1,1796,4,1,1,1,0,0,0,0,1,0
1,1822,4,0,0,1,0,1,0,0,1,0
1,1856,1,0,0,0,0,0,0,0,0,0
1,1871,3,1,1,1,1,1,1,1,1,1
1,2055,2,1,1,1,1,1,1,1,1,1
1,2111,3,0,0,0,0,0,0,0,0,0
1,2133,4,1,0,1,1,1,0,1,1,0
1,2154,4,0,0,0,1,1,0,1,0,1
1,2241,4,0,0,0,0,0,0,1,0,0
1,2273,4,1,0,0,0,0,1,0,1,0
1,2295,1,0,0,0,0,0,0,0,0,0
1,2297,3,0,0,0,1,0,0,1,0,0
1,2298,4,1,0,0,1,0,0,1,0,1
1,2434,4,1,0,0,1,1,1,1,1,1
1,2527,5,0,0,0,0,0,0,0,0,0
1,2586,4,1,1,1,1,1,1,1,1,1
1,2605,3,1,1,1,1,1,0,1,1,1
1,2970,2,0,0,0,0,0,0,0,0,0
1,2993,3,1,1,0,1,1,1,0,1,1
1,3103,4,1,0,0,0,1,0,1,1,1
1,3154,5,1,1,1,1,1,1,1,1,1
1,3166,1,1,1,1,1,1,1,1,1,1
